record_id,facility_id,year_month,production_volume_tons,capacity_utilization_pct,yield_rate_pct,downtime_hours,quality_defect_rate_pct,batch_success_rate_pct,safety_incidents,environmental_violations,energy_consumption_mwh,water_usage_cubic_meters,waste_generated_tons,revenue,cost_of_goods_sold,raw_material_costs,labor_costs,energy_costs,maintenance_costs,depreciation,operating_expenses,interest_expense,tax_expense,facility_name,location,facility_type,capacity_tons_per_year,employees,gross_profit,gross_margin_pct,ebitda,ebitda_margin_pct,ebit,ebit_margin_pct,net_income,net_margin_pct,production_efficiency_score,cost_per_ton,revenue_per_ton,profit_per_ton,energy_per_ton_mwh,water_per_ton_m3,waste_per_ton_produced,availability_pct,performance_pct,quality_pct,oee_pct,safety_score,environmental_score,revenue_per_employee,production_per_employee
B0-FF001_201001,B0-FF001,2010-01-01,40274.03693006209,74.9411688224052,85.9852176445466,4.684740766640877,0.875245675216904,88.4991601792911,0,0,1192.885545771735,516.1980882557962,8.29983022215438,955751.39,30732.97463549462,20212.228202819144,4029.66623115469,1748.8149148317384,887.8762077354031,564.4878953153188,8297.311276347556,136.65778743592995,2117.176789383493,Aurora Petrochemicals Complex,"Shanghai, China",Industrial Gases,807455,2835,633807.54,21.131964259382187,573218.27,5.742825003541132,1910.2434414699271,4.488973569035841,550342.99,0.0,78.76622615844563,686.4637847423161,880.9797568398321,215.69890969919825,0.0256375882201869,0.0115087659584501,0.0001823419267688,88.90233406896157,76.45877659709626,98.17,89.99,88,93,13098.445692170655,13.816533874102406
B0-FF001_201002,B0-FF001,2010-02-01,41330.17001230079,77.54084031113275,86.06965380694118,4.517773176700634,0.860406893874651,90.8769146321256,0,0,1179.071296650777,527.3350564676181,7.9025329687723636,885628.02,31613.11632267955,20919.90554796464,4186.524244335917,1766.5541335296916,900.754924048957,582.7759711880236,8231.557056714422,141.77394370467704,2035.186016920894,Aurora Petrochemicals Complex,"Shanghai, China",Industrial Gases,792380,2989,403341.92,21.46677939748862,262049.65,5.274678673765294,2041.672717376072,4.225907742235706,715325.95,0.0,82.53072836489194,647.9258667941444,893.6393826056917,224.90356274432628,0.0266957480543769,0.012315353991235,0.0001854015540364,90.29646480428724,71.62162217062406,82.27,87.83,90,92,13085.402850507786,12.953136117741469
B0-FF001_201003,B0-FF001,2010-03-01,39254.966871374025,75.98366063636762,84.7435760579413,4.3829905403899385,0.8912337614251604,85.33539771093754,0,0,1170.6067847805043,518.6903826865625,8.238351479776588,531569.71,29549.85498093683,19903.35592785364,4121.853052549373,1693.839712975412,936.0224054624384,576.7160725937607,8059.1897515282,133.8107826484908,2023.3464231453256,Aurora Petrochemicals Complex,"Shanghai, China",Industrial Gases,798332,2707,46004.47,22.55109649794277,200858.89,5.76507127287668,1918.2342215251408,4.2545959394755775,686732.07,0.0,82.67298784124586,675.2210837619559,895.9279546624799,235.3184742834304,0.0268137778282968,0.0108250336877557,0.0001905797812054,95.423526241481,76.73659125414484,61.8,92.16,92,89,12969.002734707225,12.82347335824485
B0-FF001_201004,B0-FF001,2010-04-01,42620.62116542256,73.23715594377416,83.9971828235038,4.569743107739564,0.956122597755704,89.41132006587152,0,0,1209.344368838916,517.9606373398128,8.180261254067565,790355.19,31234.55680234925,19035.811722838847,4171.264549119882,1811.1825985756184,863.3673073607048,591.9584514022648,8761.894334220508,138.99497283167483,2017.318939094321,Aurora Petrochemicals Complex,"Shanghai, China",Industrial Gases,800577,2893,36280.56,22.63494521978221,444435.37,5.609844946324777,1994.358169884111,4.485766663914457,280965.55,0.0,82.19796949695865,696.4909702090895,897.5479456447491,230.34981697027385,0.0268791662437814,0.0110679445272382,0.000189131204552,87.0889916289381,71.67102913602322,87.51,77.9,90,89,12671.111446785751,12.420559377886974
B0-FF001_201005,B0-FF001,2010-05-01,42245.36074129602,76.3374833961205,86.31330276176176,4.2685552694501325,0.9666423899794796,89.71002344521528,0,0,1185.0462318271063,540.5271757752089,8.290129429607093,223402.66,32085.26673411099,19757.292473887217,4222.422739422585,1785.4815496129029,886.7026500782607,553.5850729652035,8676.02462950293,139.1860428854234,1948.5711587528235,Aurora Petrochemicals Complex,"Shanghai, China",Industrial Gases,808493,2924,225090.28,22.536548026935385,767926.02,6.00102923287561,2078.469980839363,4.241168247601714,562687.34,0.0,77.7443341863969,651.3824827197734,860.9006943053225,218.44201382975547,0.0271400544095218,0.0114331396097295,0.0001773363001513,92.2442546648557,73.20373620351992,90.42,93.67,86,92,12268.05289840255,12.66986386998816
B0-FF001_201006,B0-FF001,2010-06-01,40323.58136373096,74.74038226461843,83.93638474526905,4.513425993820741,0.8637343142648026,94.80495810721456,0,0,1192.402380031243,536.8930168143544,8.42529040995292,739803.69,31819.13075970908,20299.09127969483,4272.73207438024,1758.9903371066046,878.056840988355,559.2181287228592,8127.489781599964,139.48099434014264,1980.6203225729048,Aurora Petrochemicals Complex,"Shanghai, China",Industrial Gases,766839,2825,771833.68,23.864538769528327,958904.79,5.387513800633558,1968.5413337937573,4.395575289454997,340808.76,0.0,82.72045871856767,713.3706834223655,893.5731332923239,227.12772592049595,0.0256253355058302,0.0115104708156206,0.0001817752214123,89.22883301885514,72.95857452628886,63.94,80.37,96,89,12759.03937712172,13.08720750005244
B0-FF001_201007,B0-FF001,2010-07-01,45233.62243000838,74.59377923448947,87.97016384609792,4.747161772381756,0.9167552733700866,92.04789277761918,0,0,1151.7926072771363,538.6405509710572,8.468496179010362,459392.95,32020.87574120419,20919.859432933445,3986.808945198467,1800.797266409758,865.6832767811688,570.3212910971832,8225.249245753292,137.462135841245,1968.708495277086,Aurora Petrochemicals Complex,"Shanghai, China",Industrial Gases,844014,2803,698307.42,21.91915230255365,750943.68,5.652896977889868,1889.1601454838,4.240440932918277,827520.0,0.0,82.07865067332222,635.2839103925891,945.215485651164,239.57630844744887,0.0274478056166664,0.0115489732488732,0.0001855790850073,91.43917181019212,70.99636619088868,89.98,50.82,93,88,12568.057407850078,13.207945533471184
B0-FF001_201008,B0-FF001,2010-08-01,42127.147526023175,69.46838552534444,79.28412226691965,4.532672656120966,0.8925475660961654,88.87830474347908,0,0,1193.991394747748,540.3904861664004,8.022686059928393,751464.23,32051.800084097456,22000.194282841087,4091.733962878266,1785.0624873464385,899.1172791211104,612.6521723965473,8563.592149547154,140.16569289680993,2070.558285255037,Aurora Petrochemicals Complex,"Shanghai, China",Industrial Gases,819236,2782,445043.43,23.319433322607992,943962.23,5.672937681792304,1924.0515636857224,4.441930290715509,402010.46,0.0,81.92190412382095,645.8258537606665,937.7731834858038,226.03848714855627,0.0276206426811923,0.0123046225048067,0.000178873802338,88.0879498571074,71.88728580405751,80.58,60.41,95,86,13249.650060595362,13.217246135857527
B0-FF001_201009,B0-FF001,2010-09-01,42087.17562148811,76.24889712488657,82.86885697518228,4.653198757946552,0.8948599035274922,83.17716879614451,0,0,1240.493871352407,532.2013735606678,8.382093398903718,796908.0,30799.633575663964,20634.6552826566,4244.595116522305,1717.455417456606,872.8819048308152,567.1777072365753,8712.455710052616,135.38623559095933,2061.016273297269,Aurora Petrochemicals Complex,"Shanghai, China",Industrial Gases,804113,2885,779406.98,23.06206347560165,587491.0,5.442901800197763,1963.6685470387977,4.284176562029638,938135.89,0.0,78.38769412523385,717.7590502596548,869.1108169446928,223.0527764462741,0.0258786024575526,0.0123943653158056,0.0001744203291676,90.73842103510565,76.92928765738507,79.16,96.22,91,95,12697.969279331077,13.494356701271798
B0-FF001_201010,B0-FF001,2010-10-01,41775.99609821988,77.47125920449815,86.38713698301454,4.489222696381979,0.9558779046029356,90.53158720021004,0,0,1226.6095268068502,550.6476803654031,8.042319098747573,194911.55,30478.37377326826,20242.711668312382,4036.973654050964,1740.848800327644,901.8607456538514,593.5913971194889,8363.338284052763,136.71475987468102,2152.025691256043,Aurora Petrochemicals Complex,"Shanghai, China",Industrial Gases,817723,2997,619593.78,23.059788851051,151847.96,5.236160573908856,1960.527064874045,4.473517140968198,410091.55,0.0,82.73081611990101,716.3286746423441,945.9051838802072,221.83580433779665,0.0263228102943096,0.011941704611912,0.0001937170971001,92.8264268367942,74.47672540293132,70.71,65.01,94,93,13425.55737934668,12.89848950479962
B0-FF001_201011,B0-FF001,2010-11-01,41669.79569482484,73.72958669347268,82.98017996985104,4.479159225044007,0.8625220034601563,92.51620104308395,0,0,1131.882016459164,562.4861826325632,8.164653379074327,75515.41,30429.98637580333,21797.340362556217,4156.476821224813,1836.317663327489,896.1087312880347,591.9083314811254,8529.851985567271,136.47234605693438,1995.799252060193,Aurora Petrochemicals Complex,"Shanghai, China",Industrial Gases,789022,2924,185467.54,21.33960835495981,394048.81,5.480497082183666,1932.8243792134488,4.3956731773825215,405066.65,0.0,87.61694399938499,676.4555014204841,883.3151638601985,229.32075464002136,0.0256557769633779,0.0118384516113297,0.0001862148861663,90.50231168177358,74.93678721655778,87.39,84.22,91,92,13309.325291740714,13.155291208295584
